CustomerID,Age,Gender,Income,SubscriptionLength,AvgMonthlySpend,ProductViews,ComplaintsFiled,DiscountUsed,SatisfactionScore,MonthlySales,Churn
1,56,Male,65648,15,184.94,21,1,1,5,92.1,0
2,69,Male,29516,19,184.13,18,0,1,4,87.12,0
3,46,Male,22396,7,266.57,27,0,1,7,124.2,0
4,32,Female,104082,51,238.09,23,2,0,5,121.92,0
5,60,Male,39129,28,264.1,20,0,0,8,89.94,0
6,25,Male,21591,51,205.84,21,2,1,1,46.68,0
7,38,Male,31303,43,215.85,22,0,1,5,82.13,0
8,56,Female,50561,58,295.05,10,1,1,4,124.8,0
9,36,Female,91719,5,158.2,16,3,0,3,99.37,1
10,40,Male,112108,5,194.86,21,2,0,5,101.89,1
11,28,Male,119616,30,239.91,17,1,0,10,134.67,0
12,28,Male,106231,54,190.21,21,0,1,3,81.52,0
13,41,Male,27314,32,171.49,24,2,0,8,66.0,1
14,53,Female,39623,8,230.92,23,0,0,3,95.73,0
15,57,Female,87675,10,266.79,24,2,0,1,126.76,1
16,41,Female,116826,38,192.96,18,2,0,9,98.99,0
17,20,Female,85082,47,191.57,20,1,1,9,102.26,0
18,39,Male,103624,32,167.62,24,0,1,6,86.78,1
19,19,Male,53130,48,185.2,22,2,0,10,118.66,0
20,41,Male,71756,28,254.18,22,1,0,1,84.59,0
21,61,Female,117624,17,204.05,24,1,0,8,120.62,0
22,47,Male,46292,31,159.75,22,1,0,2,58.36,0
23,55,Female,106206,8,213.12,24,3,0,9,105.32,0
24,19,Female,89274,40,252.56,18,1,1,8,131.25,0
25,38,Male,22469,25,171.91,23,2,0,3,56.93,0
26,50,Male,73947,9,133.57,16,1,0,5,100.69,0
27,29,Male,42534,2,309.54,21,2,0,9,155.37,1
28,39,Female,83620,15,131.07,16,1,1,1,33.13,1
29,61,Male,68874,50,182.05,28,1,1,9,96.1,0
30,42,Female,69708,3,211.61,17,1,1,4,105.64,0
31,66,Male,94553,49,186.38,19,2,1,4,90.53,0
32,44,Female,88344,36,196.25,17,1,1,4,95.78,0
33,59,Female,69138,4,228.84,17,1,0,10,115.66,0
34,45,Male,74302,14,80.41,17,1,1,9,89.08,0
35,33,Female,67638,41,136.66,22,0,0,6,68.73,0
36,32,Female,98249,41,202.21,22,0,1,8,123.03,0
37,64,Male,22719,25,179.79,17,0,1,4,100.25,0
38,68,Female,42890,58,206.47,21,0,1,3,120.13,0
39,61,Male,97236,55,211.38,18,0,1,1,69.02,0
40,69,Female,56509,50,94.2,18,0,1,10,88.94,0
41,20,Male,62534,10,263.68,22,0,1,7,100.82,0
42,54,Male,112241,21,175.09,18,1,1,4,119.95,0
43,68,Female,38787,36,156.72,24,1,1,8,58.71,0
44,24,Female,68845,12,210.42,14,1,1,3,122.48,0
45,38,Female,77932,27,205.36,25,2,1,1,79.73,0
46,26,Female,112124,40,259.83,19,2,1,5,122.27,0
47,56,Female,111659,2,213.59,15,2,0,2,71.51,1
48,35,Male,53062,54,257.91,23,0,0,3,94.15,0
49,21,Female,95713,13,153.09,18,3,1,6,98.59,0
50,42,Male,107263,53,207.09,27,0,1,3,55.74,0
51,31,Male,115756,32,144.26,27,1,1,3,56.59,0
52,67,Female,80461,31,204.88,17,0,1,6,85.41,0
53,26,Male,95418,16,194.29,17,1,1,5,103.09,0
54,43,Male,86672,32,192.14,29,0,0,10,109.18,0
55,19,Male,54832,32,192.57,19,1,0,9,116.08,0
56,37,Male,51966,34,236.82,16,1,0,1,80.14,0
57,45,Female,92545,11,119.63,26,1,0,3,73.36,1
58,64,Male,32987,10,155.01,24,0,1,3,57.9,0
59,24,Female,57311,15,197.97,17,1,1,6,101.4,0
60,61,Female,51575,17,141.07,19,0,1,8,115.46,0
61,25,Male,83852,40,202.31,29,1,1,3,105.33,0
62,64,Female,21007,18,197.46,15,0,0,3,45.4,0
63,52,Female,90981,55,129.81,14,1,0,6,49.22,0
64,31,Female,96242,9,127.34,30,1,1,8,88.07,0
65,34,Male,67517,25,68.81,23,0,0,6,47.1,0
66,53,Female,49257,40,138.97,21,1,0,10,91.43,0
67,67,Female,107272,59,200.72,18,1,1,3,102.04,0
68,57,Female,62207,14,207.81,16,0,0,4,88.93,0
69,21,Male,33281,58,210.09,21,1,1,1,86.03,0
70,19,Female,81246,25,161.1,26,1,0,8,103.04,0
71,23,Male,21435,50,199.08,23,0,0,4,102.36,0
